Combined ID	Diagram Name	Lifecycle Phase	Architecture Domain	Abstraction Level	UI Card Description	Intent Trigger Keywords	Core GCP Services Featured	Notation Standard	Golden Example Payload	Generative Build Sequence	How to Handle Advanced Prompts	Target Audience & Persona	Live Railway Link
P3-DAT-C-06_unified_data_governance	Unified Data Governance & Access Control	Phase 3: Target State Logical Architecture	Data & Analytics	Conceptual	Enterprise-wide Dataplex taxonomy, row/column ABAC policies, automated PII tag templates, and 21 CFR Part 11 compliance.	data governance, dataplex, access control, rbac, abac, data catalog, pii masking, compliance	Dataplex Universal Catalog, Cloud DLP, BigQuery Column-Level Security, Cloud IAM, Cloud KMS, Cloud Audit Logs	Dataplex Active Governance Fabric	Build a Unified Data Governance diagram on GCP showing Dataplex Universal Catalog, Cloud DLP automated PII masking, BigQuery row-level security, and Cloud IAM conditional access.	1. Draw Policy Definition Plane (Legal, Compliance, CISO). 2. Draw Dataplex Governance Hub (Metadata Catalog, Tag Templates). 3. Draw Enforcement Tier (Cloud DLP, Column-Level Encryption, Dynamic Row Filters). 4. Draw Audit Log Lakehouse.	If [Healthcare/Life Sciences] requested: Enforce HIPAA de-identification rules and 21 CFR Part 11 electronic signature audit logs.	Creator: Data Governance Officer | Consumers: Data Stewards & SREs | Stakeholders: Chief Compliance Officer / CISO	https://promptcanvas-production-235c.up.railway.app/workspace?blueprint=P3-DAT-C-06_unified_data_governance
P3-SEC-L-07_federated_iam_sso	Google Cloud Federated IAM & SSO Architecture	Phase 3: Target State Logical Architecture	Cloud Infra Security	Logical	GCDS Directory Sync, SAML 2.0 / OIDC Identity Federation, Okta / Azure AD Bridge, and Identity-Aware Proxy (IAP).	iam, sso, saml, oidc, federated identity, azure ad, okta, workforce identity federation, iap, beyondcorp	Cloud Identity, Workforce Identity Federation, Identity-Aware Proxy (IAP), Cloud IAM, BeyondCorp Enterprise, Cloud Audit Logs	Zero-Trust Context-Aware Flow	Design a Google Cloud Federated IAM architecture synchronizing corporate Azure AD users via GCDS, enforcing SAML 2.0 SSO, and securing internal apps with BeyondCorp Identity-Aware Proxy (IAP).	1. Draw Corporate IdP container (Azure AD / Okta). 2. Draw Google Cloud Identity sync bridge (GCDS). 3. Draw Workforce Identity Federation token exchange. 4. Draw IAP Gateway intercepting end-user HTTPS traffic with context-aware device checks. 5. Route to backend GKE/Cloud Run apps.	If [Workload Identity] requested: Add GitHub Actions OIDC federation with Google Cloud Service Accounts without static keys.	Creator: Identity & Access Architect | Consumers: Cloud Security Engineers | Stakeholders: CISO / Identity Operations Lead	https://promptcanvas-production-235c.up.railway.app/workspace?blueprint=P3-SEC-L-07_federated_iam_sso
P3-APP-L-08_micro_frontend_architecture	Micro-Frontend & Modular UI Presentation	Phase 3: Target State Logical Architecture	App & Integration	Logical	Module Federation shell, isolated UI micro-apps, shared design system tokens, and client-side event bus.	micro frontend, mfe, module federation, web components, design system, client event bus, shell app	Cloud CDN, Cloud Storage (Static Assets), Cloud Run (Host SSR), Firebase Hosting, Cloud Armor WAF	Module Federation UI Component Map	Build a Micro-Frontend architecture with a host Next.js Shell dynamically loading remote Webpack 5 Module Federation micro-apps (Header, Dashboard, Chat Assistant) with shared Tailwind tokens and BroadcastChannel event bus.	1. Draw top User Presentation Shell (Host Container). 2. Draw decoupled remote Micro-App containers. 3. Add Shared Design System and State Bus. 4. Draw backend API Gateway routes connecting to each microservice domain.	If [Real-Time WebSocket Sync] requested: Inject WebSockets Client Gateway and BroadcastChannel state replication.	Creator: Principal Frontend Architect | Consumers: UI/UX & Frontend Engineers | Stakeholders: VP Engineering / Head of Product	https://promptcanvas-production-235c.up.railway.app/workspace?blueprint=P3-APP-L-08_micro_frontend_architecture
P3-GOV-L-09_logical_ai_config_tenant	Product Plan - Logical AI Config (Tenant Architecture)	Phase 3: Target State Logical Architecture	Strategy & Governance	Logical	Multi-tenant logical isolation, tenant resource allocation, model persona routing, and quota governor.	multi-tenant, tenant isolation, quota governor, rate limiting, noisy neighbor, persona routing	Vertex AI Model Endpoints, Memorystore for Redis, Cloud SQL, BigQuery, Apigee API Gateway, Cloud Monitoring	Hierarchical Multi-Tenant Tree	Create a Multi-Tenant Logical AI Configuration diagram showing Tenant Router, Tenant Quota Governor, Row-Level Security isolation in Cloud SQL, and dedicated Vertex AI model endpoints for Enterprise tier.	1. Draw Ingress Tenant Router. 2. Draw Tenant Quota & Policy Governor. 3. Draw Tiered Compute Clusters (Shared vs Dedicated). 4. Draw Data Isolation Layer with tenant_id foreign keys and RLS rules.	If [Noisy Neighbor Prevention] requested: Add Redis Token Bucket Rate Limiting with sub-millisecond throttle enforcement.	Creator: Cloud Platform Foundations Lead | Consumers: Platform Engineers & Tenant Admins | Stakeholders: Head of Infrastructure	https://promptcanvas-production-235c.up.railway.app/workspace?blueprint=P3-GOV-L-09_logical_ai_config_tenant
P3-APP-L-10_multi_agent_sequence_flow	Multi-Agent Execution Lifeline Sequence Diagram	Phase 3: Target State Logical Architecture	App & Integration	Logical	Micro Dynamic UML sequence diagram modeling end-user requests, agent orchestration, confidence gating, and HITL review.	sequence diagram, uml lifeline, grpc flow, vpc-sc, hitl review, agent execution, chronological sequence	Cloud Endpoints / Apigee, Vertex AI Vector Search, Gemini 3.7 Flash, Model Armor, Cloud Audit Logs, PagerDuty / HITL Portal	Dynamic UML Sequence Diagram	Build a UML Sequence Diagram showing an end-user query flowing to API Gateway, prompt scanning in Model Armor, vector retrieval in Vertex Vector Search, Gemini 3.7 reasoning, a low-confidence Human-in-the-Loop review gate, and final verified response.	1. Draw 5 vertical lifeline columns (User, API Gateway, Vector Store, Gemini Agent, Human Reviewer). 2. Draw numbered horizontal sequence arrows (1..8). 3. Add HITL condition box at Step 5. 4. Return sub-second verified output to client.	Enforce Maximum 140px Label Width (split with <br>) and 30px Minimum Vertical Clear-Zone to prevent text collisions.	Creator: Principal API Architect | Consumers: Backend Developers & Auditors | Stakeholders: Product Managers / Lead Developers	https://promptcanvas-production-235c.up.railway.app/workspace?blueprint=P3-APP-L-10_multi_agent_sequence_flow
P4-SEC-P-01_secure_deployment_topology_map	Secure Deployment Topology Map	Phase 4: Technical Deep-Dive & Security Validation	Cloud Infra Security	Physical	Zero-Trust GCP Network Topology with Cloud Armor WAF, GKE Autopilot, Cloud SQL PSA, Binary Authorization, and CMEK KMS.	secure deployment, zero trust, gke autopilot, cloud armor, waf, binary authorization, cmek kms, scc, security topology	Cloud Armor, GKE Autopilot, Cloud SQL PSA, Cloud KMS CMEK, Artifact Registry, Binary Authorization, Security Command Center, Cloud NAT	Zero-Trust Physical Network Topology	Generate a production Secure Deployment Topology Map on GCP with Cloud Armor WAF, Private GKE Autopilot cluster, Private Service Connect to Cloud SQL, Cloud KMS CMEK encryption, and Binary Authorization signing.	1. Draw Outer Internet & CDN edge with Cloud Armor WAF. 2. Draw Secure CI/CD Pipeline (Cloud Build -> Artifact Registry -> Binary Auth). 3. Draw Production VPC Perimeter (Private GKE cluster with Istio mTLS 1.3). 4. Draw Private Data Zone (Cloud SQL via PSC, Cloud KMS CMEK). 5. Add SCC threat detection overlay.	Ensure 100% canvas density, explicit port numbers (443, 8443, 5432), and zero plain-text passwords.	Creator: Principal Cloud Security Architect | Consumers: DevSecOps & Network Engineers | Stakeholders: CISO / Head of Security	https://promptcanvas-production-235c.up.railway.app/workspace?blueprint=P4-SEC-P-01_secure_deployment_topology_map
P4-SEC-P-02_gcp_landing_zone_vpc_map	GCP Landing Zone & Shared VPC Network Fabric	Phase 4: Technical Deep-Dive & Security Validation	Cloud Infra Security	Physical	Production-grade Hub-and-Spoke Shared VPC network fabric with 100G Dedicated Interconnect, Cloud Router BGP, PSC, and Cloud NGFW.	landing zone, shared vpc, hub and spoke, cloud interconnect, private service connect, cloud nat, ngfw	Shared VPC Host Project, 100G Dedicated Interconnect, Cloud Router BGP, Private Service Connect (PSC), Cloud NGFW, Cloud NAT HA, VPC Service Controls	Hub-and-Spoke Shared VPC Topology	Design a production-grade GCP Landing Zone with a Hub-and-Spoke Shared VPC, 100G Dedicated Interconnect, Private Service Connect (PSC 10.50.0.5), Cloud NGFW, and VPC-SC perimeter powered by Gemini 3.7 Flash.	1. Draw Hybrid Ingress (100G Interconnect & Cloud VPN). 2. Draw Central Hub Host Project (Cloud NGFW, PSC Hub). 3. Draw Production Workload Spoke (GKE & Serverless Subnets). 4. Draw Managed Services Enclave (PSC 10.50.0.5). 5. Overlay VPC-SC Perimeter boundary.	If [Multi-Region] requested: Add us-east4 secondary VPC peering, cross-region Network Connectivity Center (NCC) spokes, and BGP failover routes.	Creator: Principal Network Architect | Consumers: CISO & SecOps Leads | Stakeholders: VP Cloud Infrastructure	https://promptcanvas-production-235c.up.railway.app/workspace?blueprint=P4-SEC-P-02_gcp_landing_zone_vpc_map
P4-SEC-P-02_data_residency_sovereign_map	Data Residency & Sovereign Cloud Map	Phase 4: Technical Deep-Dive & Security Validation	Cloud Infra Security	Physical	Multi-region landing zone, cross-region VPC peering, sovereign boundary enforcement, and Cloud Interconnect links.	data residency, sovereign cloud, gdpr, eu ai act, jurisdiction boundary, vpc peering, cross-border dlp	Cloud KMS External Key Manager (EKM), Cloud DLP, VPC Service Controls, Dedicated Interconnect, Cloud Storage Dual-Region, Cloud Logging	Sovereign Perimeter & Boundary Mesh	Build a Data Residency & Sovereign Cloud Map separating EU Sovereign Cloud (Frankfurt) and US Commercial Cloud (Iowa) with Cloud DLP border inspection and local EU External Key Management (EKM).	1. Draw Left Container: EU Sovereign Cloud Perimeter (Frankfurt). 2. Draw Right Container: US Commercial Cloud Perimeter (Iowa). 3. Insert Central Cross-Border Gateway with Cloud DLP and EKM HSM keys. 4. Annotate GDPR Article 44 transfer compliance.	If [Sovereign Air-Gap] requested: Strip all external internet egress routes and enforce 100% private Google access.	Creator: Sovereign Cloud Architect | Consumers: Compliance & Security Leads | Stakeholders: CISO / Data Protection Officer	https://promptcanvas-production-235c.up.railway.app/workspace?blueprint=P4-SEC-P-02_data_residency_sovereign_map
P4-AI-P-03_enterprise_agent_runtime_platform	Enterprise Agent Runtime Platform	Phase 4: Technical Deep-Dive & Security Validation	AI & Agentic	Physical	Physical sandboxed compute runtime on GKE Autopilot with Agent Gateway, MCP tool worker pods, and Model Armor prompt interceptor.	agent runtime, gke, cloud run, compute, infrastructure, agent gateway, deployment, mcp, model armor	GKE Autopilot (gVisor), Model Armor, Vertex AI TPU v5e, MCP Gateway, Memorystore Redis, Gemini 3.7 Flash, Cloud Logging	Physical Microservice & GKE Topology	Design an Enterprise Agent Runtime Platform on GKE Autopilot with gVisor isolation, Agent Gateway, MCP tool worker pods, Model Armor prompt protection, and Vertex AI TPU v5e serving.	1. Draw Ingress LB & Cloud Armor. 2. Draw Agent Gateway & Model Armor real-time prompt interceptor. 3. Draw GKE Autopilot Sandboxed Workers (MCP Tool Pods, ephemeral SSDs). 4. Draw Vertex AI TPU v5e serving and BigQuery telemetry.	If [High Security] requested: Enforce gVisor kernel isolation, CMEK HSM for tool scratchpads, and VPC-SC perimeter.	Creator: AI Systems Architect | Consumers: ML Engineers & DevSecOps | Stakeholders: CTO / Head of AI Platforms	https://promptcanvas-production-235c.up.railway.app/workspace?blueprint=P4-AI-P-03_enterprise_agent_runtime_platform
P4-AI-P-03_tech_agentic_mesh	Hybrid Multi-Cloud Networking & Gemini Enterprise	Phase 4: Technical Deep-Dive & Security Validation	Cloud Infra Security	Physical	100G Dedicated Interconnect, Partner Interconnect, Cloud VPN, Cross-Cloud Interconnect for AWS, NCC BGP routing, and Gemini AIOps.	multi cloud, hybrid interconnect, 100g dedicated interconnect, ncc, bgp routing, aws direct connect, gemini aiops	Dedicated Cloud Interconnect (100G), Network Connectivity Center (NCC), Cloud Router, Cloud VPN, Cross-Cloud Interconnect, Gemini Enterprise AIOps	Multi-Cloud Network Transit Mesh	Create a carrier-grade Hybrid Multi-Cloud network topology connecting On-Premises Core (ASN 65001), Google Cloud VPC (ASN 16550) via dual 100G Interconnect, and AWS us-east-1 via Cross-Cloud Interconnect with Network Connectivity Center (NCC) BGP routing.	1. Draw Left Tier: On-Premises Core Datacenter. 2. Draw Center Tier: Google Cloud VPC with NCC Hub and Cloud Routers. 3. Draw Right Tier: AWS Direct Connect Gateway and VPCs. 4. Draw redundant active-active 100G BGP circuits. 5. Overlay Gemini Enterprise AIOps self-healing brain.	Enforce sub-second BFD failover (300ms) badges and 100% private RFC 1918 CIDR IP block labels.	Creator: Principal Network Architect | Consumers: Multi-Cloud Network Engineers | Stakeholders: VP Infrastructure / CISO	https://promptcanvas-production-235c.up.railway.app/workspace?blueprint=P4-AI-P-03_tech_agentic_mesh
P4-GOV-L-04_tech_eval_safety	Agentic AI Evaluation, Safety & Optimization Platform	Phase 4: Technical Deep-Dive & Security Validation	AI Agentic & LLMOps	Logical	Closed-loop Agentic AI Evaluation, Safety, and Optimization Platform integrating Agent Registry, Gemini Pro/Ultra, Model Armor, and RLHF tuning.	ai evaluation, model safety, model armor, rlhf, atheris fuzzer, agent registry, ai trism, closed loop optimization	Vertex AI Agent Builder, Gemini 3.7 Flash / Pro, Agent Registry, Model Armor, Vertex AI Model Evaluation, BigQuery, Looker Studio	Closed-Loop Governance Pipeline	Build an End-to-End Agentic AI Evaluation and Safety Platform on GCP with Agent Registry, Vertex AI Agent Builder, Model Armor prompt filters, Atheris security fuzzer, and BigQuery/Looker optimization telemetry.	1. Draw Ingestion & Agent Registry. 2. Draw Gemini Platform Core (Orchestrator, Reasoning Engine, Tool Mesh). 3. Draw Parallel Evaluation & Safety Loop (Vertex Model Eval + Human Review). 4. Draw Feedback Loop updating Prompt Configurations & RLHF Weights.	Include GE App Context binding and continuous sub-second policy synchronization.	Creator: Lead AI Safety Researcher | Consumers: MLOps & Governance Teams | Stakeholders: Chief AI Officer / AI Ethics Board	https://promptcanvas-production-235c.up.railway.app/workspace?blueprint=P4-GOV-L-04_tech_eval_safety
P4-GOV-L-05_ai_trism_guardrails	AI TRiSM Security Guardrail Pipeline	Phase 4: Technical Deep-Dive & Security Validation	Strategy & Governance	Logical	Enterprise AI Safety & Ethics Governance Suite with Constitutional Judges, CI/CD Gatekeeper, and Kill-Switch.	trism, model armor, prompt injection, jailbreak defense, pii redaction, constitutional ai, kill switch	Cloud DLP, Model Armor, Vertex AI Guardrails, Gemini 3.7 Flash, Cloud Functions (Kill-Switch), Cloud Logging	TRiSM Pre/Post Inference Pipeline	Design an AI TRiSM Guardrail Pipeline where user prompts pass through Cloud DLP (PII Redaction), Model Armor (Prompt Injection & Jailbreak scanning), Vertex AI Gemini Inference, and a Constitutional AI Judge with an automated kill-switch.	1. Draw User Prompt Ingress. 2. Draw Pre-Inference Inspection Gate (DLP, Jailbreak Fuzzer). 3. Draw Core LLM Inference. 4. Draw Post-Inference Validation Gate (Hallucination Checker, PII Re-check). 5. Attach Emergency Kill-Switch and Audit Logger.	If [EU AI Act Compliance] requested: Tag high-risk classification badges and audit trail retention specs.	Creator: AI Security Architect | Consumers: CISO & Legal Officers | Stakeholders: Risk Management / Ethics Board	https://promptcanvas-production-235c.up.railway.app/workspace?blueprint=P4-GOV-L-05_ai_trism_guardrails
